Date,Currency_pair,Prediction_action,Day Open,Day Close,Day High,Day Low,Day Average,Momentum_3day,Momentum_4day,Momentum_5day,Momentum_8day,Momentum_9day,Momentum_10day,Roc_3day,Roc_4day,Roc_5day,Roc_8day,Roc_9day,Roc_10day,Fast_k_3day,Fast_d_3day,Fast_k_4day,Fast_d_4day,Fast_k_5day,Fast_d_5day,Fast_k_8day,Fast_d_8day,Fast_k_9day,Fast_d_9day,Fast_k_10day,Fast_d_10day,PROC_12day,PROC_13day,PROC_14day,PROC_15day,Weighted_Close_Price,WILLIAM_A_D,ADOSC_1day,ADOSC_2day,ADOSC_3day,ADOSC_4day,ADOSC_5day,EMA_12Day,EMA_26Day,MACD,CCI,BOLLINGER_BANDS_LOW,BOLLINGER_BANDS_HIGH,HEIKIN_ASHI_XCLOSE,HEIKIN_ASHI_XOPEN,HEIKIN_ASHI_XHIGH,HEIKIN_ASHI_XLOW,2DAY_HIGH,2DAY_LOW,1DAY_HIGH_LOW_AVG,2DAY_HIGH_LOW_AVG,High_slope_3day,High_slope_4day,High_slope_5day,High_slope_8day,High_slope_10day,High_slope_12day,High_slope_15day,High_slope_20day,High_slope_25day,High_slope_30day,Pips,Prediction_Pips,Volume
'2012-01-13', ' EUR_USD', 'sell', ' 1.282065', ' 1.26811', ' 1.28783', ' 1.262425', ' 1.274706134571356', -0.007229999999999848, -0.009160000000000057, 0.00018999999999991246, -0.024980000000000002, -0.037290000000000045, -0.02560999999999991, -0.005669076481565581, -0.007171545562019038, 0.00014985172566085592, -0.019318067574569442, -0.028565956794852184, -0.019795628111183187, -82.23443467152966, -26.552294177453437, 3.3286793464705586, -21.23175518242913, 28.29402530959136, -16.87057667182258, -123.81289986906863, -63.108995704825, -180.49517379308904, -118.55356177797904, -451.4199729528758, -451.4199729528758, 0.0, 0.0, 0.0, 0.0, 1.27161875, 0.00321500000000019, -23888, 22317, -1922, -22373, 24959, 1.2817433333333332, 1.2817433333333332, 0.0, 0.0, 1.262425, 1.28783, 1.2751075, 1.277115, 1.28783, 1.262425, 1.28783, 1.262425, 1.9190425, 1.27618, 0.0015062499999999868, 0.0018530000000000157, 0.0026700000000000244, -0.0021583333333333363, -0.0008390909090909156, -0.0006908333333333442, -0.0006908333333333442, -0.0006908333333333442, -0.0006908333333333442, -0.0006908333333333442, -139.5499999999994, -33.30000000000055, ' 43241.'
'2012-01-15', ' EUR_USD', 'buy', ' 1.26811', ' 1.26478', ' 1.26811', ' 1.26318', ' 1.2641778071961984', -0.00743500000000008, -0.010559999999999903, -0.012490000000000112, -0.014419999999999877, -0.028310000000000057, -0.0406200000000001, -0.005844137979822655, -0.00828014490253572, -0.009778668566552186, -0.011272670419011787, -0.021893294356928023, -0.031116899034778687, -10.764346611960368, -12.330120933280105, -126.54522228580068, -57.60179245714741, -27.461604608370816, -54.92372450204396, -70.52348576001172, -49.951893922710006, -142.85224212554547, -85.48943871137995, -204.11202757426793, -139.16258515327505, -0.023086964245715103, 0.0, 0.0, 0.0, 1.2652125, 0.00804000000000027, -1033, -23888, 22317, -1922, -22373, 0.19509384615384617, 1.2804384615384614, -1.0853446153846154, 0.0, 1.26318, 1.26811, 1.266045, 1.2750875000000002, 1.2750875000000002, 1.26318, 1.28783, 1.262425, 1.8997000000000002, 1.27038625, -0.002717499999999984, -0.0027390000000000027, -0.0017424999999999802, -0.0029211111111111026, -0.003595454545454543, -0.0021546153846153915, -0.0021546153846153915, -0.0021546153846153915, -0.0021546153846153915, -0.0021546153846153915, -33.30000000000055, 18.699999999998163, ' 2946.'
'2012-01-16', ' EUR_USD', 'buy', ' 1.2648000000000001', ' 1.26667', ' 1.26874', ' 1.262635', ' 1.2662431339296316', -0.015375000000000139, -0.005545000000000133, -0.008669999999999956, -0.005269999999999886, -0.01252999999999993, -0.02642000000000011, -0.01199255876353805, -0.004358540026646544, -0.006798187150093274, -0.004143277198609908, -0.009795184490306388, -0.020431679156129975, -22.519584486204597, 21.659766029604885, 3.9781280957247476, -0.6107376569504576, -101.39585634256689, -39.97910424434891, -26.67222700063555, -12.090225217412675, -59.64271938561011, -28.64245233281352, -132.046128952951, -72.78702511306555, -0.020908697399746483, -0.02162713278287133, 0.0, 0.0, 1.26617875, 0.00028500000000009074, 8132, -1033, -23888, 22317, -1922, 0.19458153846153847, 1.279455, -1.0848734615384616, 0.0, 1.262635, 1.26874, 1.2657112499999998, 1.266445, 1.26874, 1.262635, 1.26874, 1.262635, 1.9000575, 1.26566625, -0.003943750000000024, -0.0020480000000000055, -0.0021775000000000175, -0.0013900000000000023, -0.003501363636363643, -0.002178461538461548, -0.001955714285714299, -0.001955714285714299, -0.001955714285714299, -0.001955714285714299, 18.699999999998163, 79.84999999999908, ' 25267.'
'2012-01-17', ' EUR_USD', 'buy', ' 1.26664', ' 1.274625', ' 1.28085', ' 1.2665', ' 1.2745184212694582', 0.0065149999999998265, -0.007420000000000204, 0.002409999999999801, 0.006704999999999739, 0.0026850000000000485, -0.004574999999999996, 0.0051375669303134796, -0.00578762835937912, 0.0018943338979652033, 0.005288188529244541, 0.0021109486296523802, -0.0035764540337711037, 48.02185387973253, 158.85347531366995, 32.09727361981574, 104.08817336264256, 66.02912613786094, 48.716084545803064, 154.55126838627123, 74.19249647313138, 42.44098661175702, 86.8535947280244, -13.845631285945249, 61.04887457069433, -0.023575149379500702, -0.014759762545218505, -0.015482709879737764, 0.0, 1.27415, -0.008295000000000163, 4499, 8132, -1033, -23888, 22317, 0.1948723076923077, 1.279133, -1.0842606923076923, 0.0, 1.2665, 1.28085, 1.27215375, 1.265735, 1.28085, 1.265735, 1.28085, 1.262635, 1.9141, 1.26968125, -0.0017449999999999966, -0.0007330000000000059, 0.00031166666666667303, 0.001004444444444462, -0.0012318181818181775, -0.0020623076923076923, -0.0010180000000000078, -0.0010180000000000078, -0.0010180000000000078, -0.0010180000000000078, 79.84999999999908, 117.84999999999934, ' 33983.'
'2012-01-18', ' EUR_USD', 'buy', ' 1.274655', ' 1.28644', ' 1.28681', ' 1.27341', ' 1.281267161874985', 0.021660000000000013, 0.018329999999999957, 0.004394999999999927, 0.0091699999999999, 0.01851999999999987, 0.01450000000000018, 0.017125507993485042, 0.014454582015755696, 0.0034281167977722516, 0.007179374760230726, 0.01460659978547532, 0.011399908800729736, 471.79570394108805, 333.55644749567233, 94.52826400998227, 318.7479569943204, 113.21583785899145, 226.51326860335394, 172.8139360708645, 164.22584170301477, 383.5196992306349, 239.33604355028749, 145.08996446599136, 233.80786658916358, -0.005142720150956271, -0.014524283744446212, -0.005627183625513985, -0.006356832242965358, 1.283275, -0.0065950000000001285, 38677, 4499, 8132, -1033, -23888, 0.19609615384615384, 1.2795896875, -1.083493533653846, 0.0, 1.27341, 1.28681, 1.28032875, 1.2706325, 1.28681, 1.2706325, 1.28681, 1.2665, 1.923515, 1.2768925, 0.004674999999999985, -0.00020400000000000417, 0.00038249999999998935, 0.0009161111111111175, 0.0005054545454545463, -0.0015726923076923112, -0.0005818750000000095, -0.0005818750000000095, -0.0005818750000000095, -0.0005818750000000095, 117.84999999999934, 97.1999999999995, ' 40939.'
'2012-01-19', ' EUR_USD', 'sell', ' 1.28641', ' 1.29613', ' 1.29724', ' 1.28395', ' 1.289999908548432', 0.02946000000000004, 0.03134999999999999, 0.028019999999999934, 0.020790000000000086, 0.018859999999999877, 0.028209999999999846, 0.023257833532017054, 0.024786919464254643, 0.02209587496352835, 0.016301535276867413, 0.01476586782747569, 0.022249037794182476, 548.639661921998, 308.22334425943683, 668.3434413094939, 474.48750019586896, 132.67021188658944, 449.88443837269375, 290.61489534404114, 234.7110517075342, 262.4108884799958, 262.2664371105407, 571.3067576209737, 374.7775138150035, 0.013234834271419726, 0.0023509577832942267, -0.007101271640876445, 0.001862845128775951, 1.2933625, -0.0014799999999999258, 30011, 38677, 4499, 8132, -1033, 0.19791384615384616, 1.2805626470588236, -1.0826488009049775, 0.0, 1.28395, 1.29724, 1.2909324999999998, 1.2805475, 1.29724, 1.2805475, 1.29724, 1.27341, 1.939215, 1.2853525, 0.0071249999999999925, 0.005825999999999975, 0.0015683333333333198, 0.001714999999999985, 0.0023118181818181874, 0.0002184615384615349, 1.1249999999990434e-05, 6.5882352941164e-05, 6.5882352941164e-05, 6.5882352941164e-05, 97.1999999999995, -28.999999999999027, ' 36030.'
'2012-01-20', ' EUR_USD', 'hold', ' 1.2961', ' 1.2932000000000001', ' 1.2986', ' 1.2887499999999998', ' 1.2928448237681571', 0.01857500000000023, 0.026530000000000165, 0.028420000000000112, 0.02098500000000003, 0.01786000000000021, 0.01593, 0.014572913602039998, 0.020944681724521907, 0.022470311042236683, 0.016494853464233662, 0.014004108708266195, 0.012471912751415126, 186.0614211747654, 134.44918880472565, 500.6470000491399, 278.1312954192496, 608.9125981217327, 431.8736731152126, 210.91879158508954, 163.89467944412687, 251.62672486061578, 207.39122289086814, 235.31913713234414, 232.62155119268314, 0.016714624903690647, 0.01094434021263308, 8.506755136924305e-05, -0.009345794392523355, 1.2934375, 0.008140000000000258, -2708, 30011, 38677, 4499, 8132, 0.1994046153846154, 1.2812647222222222, -1.0818601068376068, 0.0, 1.2887499999999998, 1.2986, 1.2941625, 1.29127, 1.2986, 1.2887499999999998, 1.2986, 1.28395, 1.942975, 1.292135, 0.004437499999999983, 0.005972, 0.005081666666666651, 0.0021799999999999966, 0.0018213636363636385, 0.0013346153846153829, -0.0005662500000000042, 0.00013777777777776754, 0.00013777777777776754, 0.00013777777777776754, -28.999999999999027, 0.0, ' 28088.'
'2012-01-21', ' EUR_USD', 'sell', ' 1.2932000000000001', ' 1.2932000000000001', ' 1.2932000000000001', ' 1.2932000000000001', ' 1.2932000000000001', 0.006760000000000099, 0.01857500000000023, 0.026530000000000165, 0.011155000000000026, 0.02098500000000003, 0.01786000000000021, 0.005254811728491107, 0.014572913602039998, 0.020944681724521907, 0.00870094263461893, 0.016494853464233662, 0.014004108708266195, 147.68546503384363, 87.4877838540641, 186.0614211747654, 134.44918880472565, 500.6470000491399, 278.1312954192496, 159.62815222689918, 296.5592816230079, 210.91879158508954, 163.89467944412687, 251.62672486061578, 207.39122289086814, 0.019938166445832517, 0.016714624903690647, 0.01094434021263308, 8.506755136924305e-05, 1.2932000000000001, 0.009250000000000203, 0, -2708, 30011, 38677, 4499, 0.19895384615384618, 1.281892894736842, -1.0829390485829957, 0.0, 1.2932000000000001, 1.2932000000000001, 1.2932000000000001, 1.29465, 1.29465, 1.2932000000000001, 1.2986, 1.2887499999999998, 1.9398000000000002, 1.2934375, 0.0015975000000000295, 0.0024700000000000165, 0.004076666666666691, 0.000965000000000006, 0.001035909090909095, 0.001645384615384634, -0.0008784374999999955, -0.00015368421052631756, -0.00015368421052631756, -0.00015368421052631756, 0.0, -45.000000000001705, ' 1.'
'2012-01-22', ' EUR_USD', 'buy', ' 1.2932000000000001', ' 1.2887', ' 1.2932000000000001', ' 1.28565', ' 1.288042452892562', -0.007430000000000048, 0.0022599999999999287, 0.01407500000000006, 0.020589999999999886, 0.0066549999999998555, 0.01648499999999986, -0.005732449677115758, 0.0017567861695842236, 0.011042463469647983, 0.016236761795112322, 0.005190925435534521, 0.012957715480480783, 35.74088983529111, -1499988.2555731318, 114.10362609234213, 49.778968955942645, 154.7027546846354, 101.51575687075622, 103.42411563032589, 349.3329361393271, 128.7323808281433, 249.93101851820757, 175.8176613286941, 135.99138592905445, 0.008948773556099986, 0.016389046627547317, 0.013176722172429604, 0.007426516572858087, 1.2890625, 0.003049999999999997, -580, 0, -2708, 30011, 38677, 0.19895384615384618, 1.2822332499999998, -1.0832794038461535, 46.74096657518873, 1.2613430999999997, 1.3031233999999998, 1.2901875, 1.2932000000000001, 1.2932000000000001, 1.28565, 1.2932000000000001, 1.28565, 1.936025, 1.2913125, -0.0010099999999999554, 0.0012780000000000235, 0.0020583333333333473, 0.0005966666666666774, 0.0012927272727272837, 0.0011257692307692442, -7.499999999999174e-05, -0.00014600000000000168, -0.00014600000000000168, -0.00014600000000000168, -45.000000000001705, 137.4999999999993, ' 3025.'
'2012-01-23', ' EUR_USD', 'buy', ' 1.28872', ' 1.30247', ' 1.30524', ' 1.28831', ' 1.2986419654200057', 0.00926999999999989, 0.006340000000000012, 0.01602999999999999, 0.03769, 0.034359999999999946, 0.020424999999999915, 0.0071682647695637865, 0.004891484650459454, 0.012460744379838927, 0.029799648950805675, 0.02709544124721037, 0.01593157806473245, 139.2879260109033, 3090120.6888107155, 139.35184836833477, 3090092.879924756, 216.8640532533333, 165.16794254419048, 796.9412385144163, 566.6962591349043, 157.62583103392592, 535.6847780980696, 223.27344130833308, 392.6135036188918, 0.021272758636912588, 0.019729579493763954, 0.027249353271499663, 0.024002704530088032, 1.2996225, 0.000280000000000058, 22665, -580, 0, -2708, 30011, 0.19826153846153846, 1.2831969047619045, -1.084935366300366, 106.59678154857079, 1.2608750999999998, 1.3043714, 1.296185, 1.29095, 1.30524, 1.28831, 1.30524, 1.28565, 1.949395, 1.2931, 0.0016599999999999948, 0.0016000000000000014, 0.003071666666666658, 0.004125555555555543, 0.0018840909090908984, 0.001802692307692298, 0.0014993749999999972, 0.0004342857142857045, 0.0004342857142857045, 0.0004342857142857045, 137.4999999999993, 9.900000000000464, ' 33690.'
'2012-01-24', ' EUR_USD', 'buy', ' 1.3025', ' 1.30349', ' 1.30626', ' 1.29538', ' 1.3000810568453547', 0.01028999999999991, 0.01028999999999991, 0.007360000000000033, 0.036820000000000075, 0.03871000000000002, 0.03537999999999997, 0.007957005876894454, 0.007957005876894454, 0.005678442748798371, 0.029068344556988066, 0.03060611331614986, 0.027899787873291722, 10289999.99999991, 3430108.650350312, 149.64315083095596, 3430128.643803941, 147.02673418559738, 3430098.8899616427, 669.1946077869306, 383.8129276941767, 817.6304740268806, 581.5311067875568, 161.64077291567415, 549.4886182431618, 0.024583108987081537, 0.022072545360452993, 0.020528157711368705, 0.02805382043031096, 1.302155, -0.005539999999999878, 16214, 22665, -580, 0, -2708, 0.20038, 1.284119318181818, -1.083739318181818, 119.26659741400628, 1.2602888999999997, 1.3059345999999998, 1.3019075, 1.295595, 1.30626, 1.29538, 1.30626, 1.28831, 1.9539499999999999, 1.2987975, 0.0032649999999999624, 0.001532, 0.001503333333333338, 0.004168888888888889, 0.0016754545454545405, 0.002098461538461536, 0.0021531250000000057, 0.0004380952380952321, 0.0004609090909090825, 0.0004609090909090825, 9.900000000000464, 71.00000000000107, ' 33037.'
